# Hexagonal side 5mm, cell height 20mm, TM diameter 1mm
# Vcathode   diaFe    dTmFe    Vfocus     nAll 1mm 2mm
-1000.000000 8.000000 7.000000 -500.000000 271 7 19
-1000.000000 8.000000 7.000000 -400.000000 271 7 19
-1000.000000 8.000000 7.000000 -300.000000 271 1 13
-1000.000000 8.000000 7.000000 -200.000000 271 1 7
-1000.000000 8.000000 7.000000 -100.000000 271 1 7
-1000.000000 8.000000 8.000000 -900.000000 271 26 95
-1000.000000 8.000000 8.000000 -800.000000 271 19 59
-1000.000000 8.000000 8.000000 -700.000000 271 9 37
-1000.000000 8.000000 8.000000 -600.000000 271 7 31
-1000.000000 8.000000 8.000000 -500.000000 271 7 19
-1000.000000 8.000000 8.000000 -400.000000 271 5 13
-1000.000000 8.000000 8.000000 -300.000000 271 1 7
